asset_id,claim_supported,source_type,source_url_1,source_url_2,caveat
A01,Site geology and operational context,peer-reviewed / operator,https://www.mdpi.com/2077-1312/13/7/1247,https://www.cnoocltd.com/english/presscenter/pressreleases/2023/202409/t20240925_96697.html,Primary model paper plus operator context.
A02,"Lyons Formation depth, thickness and lithology",regulator PDF,https://www.epa.gov/system/files/documents/2025-04/juniper_mrv_plan.pdf,https://www.epa.gov/ghgreporting/eastern-wyoming-sequestration-hub,Direct EPA MRV-plan text; PDF pages 8–12 visually checked.
A03,Dupuy Formation and depth,government technical review,https://www.ga.gov.au/aecr2026/carbon-capture-and-storage,https://www.ga.gov.au/aecr2025/carbon-capture-and-storage,Public petrophysical detail is limited; mapping intentionally diffuse.
A04,IBDP analogue and time-shift response,peer-reviewed primary,https://agupubs.onlinelibrary.wiley.com/doi/full/10.1029/2024GL110049,https://www.osti.gov/biblio/2315702,A6 analogue was frozen in P2-G3.
A05,Carbonate reef geology and public permit-index transcription,operator / permit index,https://www.carbonstorage.io/storage/meadowbrook-hub-project,https://bisonlowcarbon.ca/project,Technical values require direct primary-permit reconfirmation in S07.
A06,Broom Creek sandstone project geology,research organisation / regulator,https://blog.undeerc.org/2022/11/09/midwest-agenergy-holds-open-house-for-ccs-project/,https://www.epa.gov/system/files/documents/2024-10/2023_blue_flint_sequester_company_llc_mrv_report.pdf,Limited public plume-scale petrophysics; low concentration used.
A07,Johansen/Cook sandstone petrophysics,peer-reviewed primary / operator,https://agupubs.onlinelibrary.wiley.com/doi/full/10.1029/2024JB029027,https://norlights.com/,Deep offshore heterogeneous sandstone mapping.
A08,Quest storage complex and monitoring,regulator PDF,https://static.aer.ca/aer/documents/by-topic/ccus/2023-ShellQuest-Closure-Plan.pdf,https://www.aer.ca/data-and-performance-reports/reports/carbon-sequestration-project-reports,High site-characterization confidence.
A09,Broom Creek sandstone depth and thickness,research organisation / regulator,https://blog.undeerc.org/2021/11/02/red-trail-energy-awarded-the-first-co2-storage-facility-permit-in-north-dakota/,https://www.epa.gov/system/files/documents/2024-10/2023_red_trail_energy_llc_mrv_report.pdf,Moderate-confidence onshore sandstone mapping.
A10,Cooper Basin depleted-field storage,government regulator / technical review,https://energymining.sa.gov.au/industry/energy-resources/regulation/projects-of-public-interest/cooper-basin-carbon-storage,https://www.ga.gov.au/aecr2025/carbon-capture-and-storage,Field/interval heterogeneity retained through diffuse weights.
A11,Utsira Sand geological characterization,public research archive / open data,https://nora.nerc.ac.uk/id/eprint/511461/,https://co2datashare.org/dataset/sleipner-4d-seismic-dataset,Frozen A1 field analogue.
A12,"Tubåen thickness, porosity, permeability and compartmentalization",peer-reviewed primary,https://agupubs.onlinelibrary.wiley.com/doi/10.1002/2014JB011376,https://www.sciencedirect.com/science/article/pii/S1876610213004578,High-confidence A7/A3/A8 mixture.
A13,Reactive basalt mineralisation,peer-reviewed primary / regulator,https://www.nature.com/articles/s41467-019-10003-8,https://umhverfisstofnun.is/atvinnulif/mengandi-starfsemi/starfsleyfi/fongun-og-geymsla-koldioxids/carbfix-hf.-hellisheidi,Explicit taxonomy gap X0; not assigned to A1-A10.
A14,Deep Devonian storage interval,regulator / permit-index transcription,https://www.epa.gov/ghgreporting/campo-viejo-gas-processing-plant,https://carbonstorage.io/storage/estacado,Detailed petrophysics from secondary permit index; S07 should confirm against primary permit.
A15,Deep Devonian injection system,regulator / permit-index transcription,https://www.epa.gov/ghgreporting/dark-horse-treating-plant,https://carbonstorage.io/storage/dark-horse,Detailed stratigraphic assignment should be independently rechecked in S07.
