asset_id,asset,country,maturity,injection_start_year,iea_project_id_s,mapped_setting,reactive_basalt_B1
A01,CNOOC Enping offshore CCS,China,mature_primary,2023,95,A1,False
A02,Eastern Wyoming Sequestration Hub (Juniper I-1),United States,immature_primary,2025,133,A6,False
A03,Gorgon CCS,Australia,mature_primary,2019,173,A8,False
A04,Illinois Industrial Carbon Capture and Storage (ADM),United States,mature_primary,2017,223,A6,False
A05,Meadowbrook Carbon Storage Hub,Canada,immature_primary,2025,273,A9,False
A06,Midwest AgEnergy Blue Flint ethanol (ND),United States,mature_primary,2023,277,A5,False
A07,Northern Lights Phase 1,Norway,immature_primary,2025,295,A3,False
A08,Quest CCS,Canada,mature_primary,2015,347,A5,False
A09,Red Trail Energy BECCS,United States,mature_primary,2022,350,A5,False
A10,Moomba Carbon Capture and Storage,Australia,ambiguous_2024,2024,358,A5,False
A11,Sleipner,Norway,mature_primary,1996,374,A1,False
A12,Snøhvit — facility A65992,Norway,mature_primary,2008,375,A7,False
A13,Carbfix Hellisheiði storage asset,Iceland,mature_primary,2021,434;441,B1,True
A14,Campo Viejo Gas Processing Plant,United States,ambiguous_2024,2024,1308,A10,False
A15,Piñon Dark Horse Treating Facility and storage,United States,ambiguous_2024,2024,1311,A10,False
