asset_id,claim_axis,final_score,source_url_1,source_url_2,audit_note
A01,K2,2,https://english.scio.gov.cn/chinavoices/2025-05/22/content_117889178.html,https://www.cnoocltd.com/english/presscenter/pressreleases/2023/202409/t20240925_96697.html,Observed injected mass with explicit operating period.
A01,K3,1,https://www.mdpi.com/2077-1312/13/7/1247,https://english.scio.gov.cn/chinavoices/2025-05/22/content_117889178.html,Monitoring/model descriptions located; no qualifying observed quantitative comparison with uncertainty/sensitivity.
A01,K4,1,https://www.cnoocltd.com/english/presscenter/pressreleases/2023/202409/t20240925_96697.html,https://en.sasac.gov.cn/2025/03/31/c_19069.htm,Monitoring system described; no qualifying pathway-specific observed quantitative containment result.
A02,K2,1,https://www.epa.gov/ghgreporting/eastern-wyoming-sequestration-hub,https://www.businesswire.com/news/home/20220120005688/en/Tallgrass-to-Develop-a-Commercial-Scale-CO2-Sequestration-Hub-in-Wyoming,Design/permitted capacity located; no qualifying actual injected/stored mass by cutoff.
A02,K3,1,https://www.epa.gov/ghgreporting/eastern-wyoming-sequestration-hub,https://www.wyomingcarbonblueprint.com/home/resources-2/,Site characterization/monitoring plans public; no qualifying post-injection observed comparison.
A02,K4,1,https://www.epa.gov/ghgreporting/eastern-wyoming-sequestration-hub,https://www.businesswire.com/news/home/20220120005688/en/Tallgrass-to-Develop-a-Commercial-Scale-CO2-Sequestration-Hub-in-Wyoming,Containment strategy public; no qualifying observed pathway result.
A03,K2,2,https://www.wa.gov.au/organisation/department-of-mines-petroleum-and-exploration/gorgon-carbon-dioxide-injection-project,https://australia.chevron.com/news/2024/mark-hatfield-keynote-address-at-asia-pacific-oil-and-gas-conference-and-exhibition,Actual cumulative injection reported.
A03,K3,2,https://connectsci.au/ep/article/63/2/S386/77515/Integration-of-the-comprehensive-Gorgon-CO2,https://australia.chevron.com/-/media/australia/our-businesses/documents/carbon-dioxide-injection-peer-review-report--condition-273-4.pdf,"Observed pressure, InSAR and repeated seismic response compared quantitatively with history-matched models; resolution/noise discussed."
A03,K4,2,https://connectsci.au/ep/article/63/2/S386/77515/Integration-of-the-comprehensive-Gorgon-CO2,https://australia.chevron.com/-/media/australia/our-businesses/documents/carbon-dioxide-injection-peer-review-report--condition-273-4.pdf,Repeated seismic imaging and distributed-temperature observations quantitatively address interval/pathway behaviour.
A04,K2,2,https://ghgdata.epa.gov/ghgp/html/2023.do?et=undefined&id=1005661,https://www.epa.gov/system/files/documents/2023-09/2022_Archer_Daniels_Midland_Co_MRV_Report.pdf,Annual and cumulative injection/sequestration accounting reported.
A04,K3,1,https://www.epa.gov/system/files/documents/2023-09/2022_Archer_Daniels_Midland_Co_MRV_Report.pdf,https://www.osti.gov/biblio/2315702,Monitoring/model-update activities described; no qualifying numerical observed-versus-forecast result with attached uncertainty.
A04,K4,2,https://www.epa.gov/system/files/documents/2023-09/2022_Archer_Daniels_Midland_Co_MRV_Report.pdf,https://ghgdata.epa.gov/ghgp/html/2023.do?et=undefined&id=1005661,Mandatory report quantifies subsurface CO2 migration into verification well with Bernoulli/Monte Carlo uncertainty.
A05,K2,1,https://www.aer.ca/data-and-performance-reports/reports/carbon-sequestration-project-reports,https://majorprojects.alberta.ca/details/Meadowbrook-Carbon-Storage-Project/12022,Licensed/nameplate scale located; no qualifying actual mass by cutoff.
A05,K3,1,https://www.aer.ca/data-and-performance-reports/reports/carbon-sequestration-project-reports,https://bisonlowcarbon.ca/project,MMV/site-characterization narrative public; no qualifying observed quantitative comparison.
A05,K4,1,https://bisonlowcarbon.ca/project,https://www.aer.ca/data-and-performance-reports/reports/carbon-sequestration-project-reports,Containment case/planned monitoring described; no qualifying observed pathway-specific quantitative result.
A06,K2,2,https://www.dmr.nd.gov/dmr/sites/default/files/documents/Oil-and-Gas/ClassVI/CO2Reporting/WebsiteCO2VolumeReportingBlueFlint.pdf,https://www.epa.gov/system/files/documents/2024-10/2023_blue_flint_sequester_company_llc_mrv_report.pdf,Observed injection volumes and cumulative mass reported.
A06,K3,1,https://www.epa.gov/system/files/documents/2024-10/2023_blue_flint_sequester_company_llc_mrv_report.pdf,https://www.dmr.nd.gov/dmr/sites/default/files/documents/Oil-and-Gas/ClassVI/CO2Reporting/WebsiteCO2VolumeReportingBlueFlint.pdf,"Narrative consistency with expectations, but no qualifying numerical comparison with attached uncertainty."
A06,K4,1,https://www.epa.gov/system/files/documents/2024-10/2023_blue_flint_sequester_company_llc_mrv_report.pdf,https://www.dmr.nd.gov/dmr/sites/default/files/documents/Oil-and-Gas/ClassVI/CO2Reporting/WebsiteCO2VolumeReportingBlueFlint.pdf,"No detected subsurface leakage reported, but no geological-pathway result with quantitative detection sensitivity."
A07,K2,2,https://norlights.com/wp-content/uploads/2026/04/Northern-Lights-Annual-Report-2025.pdf,https://norlights.com/news/northern-lights-jv-has-successfully-stored-first-co%E2%82%82/,First stored mass reported for calendar year 2025.
A07,K3,1,https://norlights.com/wp-content/uploads/2026/04/Northern-Lights-Annual-Report-2025.pdf,https://co2datashare.org/dataset?organization=northern-lights&project_type=Commercial,Performance described as expected; no qualifying observed quantitative baseline/model comparison with uncertainty.
A07,K4,1,https://norlights.com/wp-content/uploads/2026/04/Northern-Lights-Annual-Report-2025.pdf,https://www.regjeringen.no/en/documents/meld.-st.-33-20192020/id2765361/?ch=5,Safe storage described; no qualifying observed pathway-specific quantitative containment result by cutoff.
