asset_id,asset,maturity,operation_year,operational_age_y,dominant_physical_class,union_enh_recode,B1,K3,K4,K3_E2plus,K4_E2plus,P,S,M,W,G,D,E,topology_breadth,topology_min,topology_max,mandatory_public_route,sensitivity_span_0_2,openness_O0_O2,topology_rationale,source
A01,CNOOC Enping offshore CCS,mature_primary,2023,3.6666666666667425,A1,0.813075,False,1,1,False,False,1,0,0,1,0,0,0,2,1,2,0,0,0,Injection monitoring/control and gas-tightness/wellbore control are public; no extra family is inferred without a specific technical artifact.,https://www.cnoocltd.com/english/presscenter/pressreleases/2023/202409/t20240925_96697.html
A02,Eastern Wyoming Sequestration Hub (Juniper I-1),immature_primary,2025,1.6666666666667425,A6,0.248025,False,1,1,False,False,1,1,1,1,0,0,1,5,5,5,1,0,1,"EPA MRV includes pressure/rate, time-lapse 2D seismic, regional seismicity, well integrity/logging, and air/soil/groundwater monitoring.",https://www.epa.gov/system/files/documents/2025-04/juniper_i-1_decision.pdf
A03,Gorgon CCS,mature_primary,2019,7.6666666666667425,A8,0.3604,False,2,2,True,True,1,1,0,1,0,1,0,4,4,5,1,2,1,"Pressure/injection surveillance, 4D seismic, well/DTS monitoring and deformation/InSAR are explicitly retained.",https://ace.dmp.wa.gov.au/ACE/Public/PetroleumProposals/ViewPlanSummary?registrationId=70745
A04,Illinois Industrial Carbon Capture and Storage (ADM),mature_primary,2017,9.666666666666742,A6,0.248025,False,1,2,False,True,1,1,1,1,1,0,1,6,5,6,1,1,1,"Decatur/ADM monitoring includes pore pressure, active seismic/VSP, microseismic, downhole/well systems, deep-fluid geochemistry and air/soil/groundwater baselines.",https://www.netl.doe.gov/node/5914
A05,Meadowbrook Carbon Storage Hub,immature_primary,2025,1.6666666666667425,A9,0.2481,False,1,1,False,False,1,1,1,1,1,0,1,6,5,6,1,1,1,"Meadowbrook MMV documents pressure/temperature, VSP/DAS, induced-seismic monitoring, fibre/well integrity, geochemical discrimination and groundwater/biosphere monitoring.",https://carbonstorage.io/media/permitted_files/Bison_Low_Carbon_Ventures_-_Measurement_Monitoring_and_Verification_Plan.pdf
A06,Midwest AgEnergy Blue Flint ethanol (ND),mature_primary,2023,3.6666666666667425,A5,0.5508000000000001,False,1,1,False,False,1,1,1,1,0,0,1,5,5,5,1,0,1,"Blue Flint MRV includes continuous pressure, time-lapse seismic/VSP, passive seismicity, DTS/mechanical-integrity logging, and soil-gas/groundwater/air monitoring.",https://www.epa.gov/system/files/documents/2023-06/bfscmrvplan.pdf
A07,Northern Lights Phase 1,immature_primary,2025,1.6666666666667425,A3,0.4977750000000001,False,1,1,False,False,1,1,1,1,0,0,0,4,4,5,1,0,2,"Northern Lights documentation includes injection pressure/temperature, 4D seismic, passive seismicity and well/in-well monitoring.",https://norlights.com/wp-content/uploads/2021/03/RE-PM673-00011-02-Impact-Assessment.pdf
A08,Quest CCS,mature_primary,2015,11.666666666666742,A5,0.5578500000000001,False,2,2,True,True,1,1,1,1,0,0,1,5,4,6,1,2,1,"Quest uses pressure/injection surveillance, repeated seismic/DAS VSP, microseismic arrays, permanent fibre/well systems and near-surface assurance.",https://www.aer.ca/data-and-performance-reports/reports/carbon-sequestration-project-reports
A09,Red Trail Energy BECCS,mature_primary,2022,4.6666666666667425,A5,0.646,False,1,1,False,False,1,1,0,1,0,1,1,5,4,5,1,1,1,"Red Trail documents pressure/injection, SOV-DAS/VSP, permanently installed fibre, deformation/strain/InSAR and shallow groundwater/near-surface monitoring.",https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4278987
A10,Moomba Carbon Capture and Storage,ambiguous_2024,2024,2.6666666666667425,A5,0.5316375,False,2,2,True,True,1,1,1,1,0,1,1,6,5,6,1,2,1,"Moomba M&V combines injection/pressure, seismic calibration, induced-seismic monitoring, well integrity/logging, InSAR and environmental assurance.",https://energymining.sa.gov.au/industry/energy-resources/regulation/projects-of-public-interest/cooper-basin-carbon-storage
A11,Sleipner,mature_primary,1996,30.666666666666742,A1,0.9957,False,3,3,True,True,1,1,0,0,0,0,0,2,2,3,0,2,2,The primary public verification topology is coded narrowly as injection/pressure plus repeated 4D surface seismic.,https://co2datashare.org/dataset/sleipner-4d-seismic-dataset
A12,Snøhvit — facility A65992,mature_primary,2008,18.666666666666742,A7,0.18898750000000003,False,2,1,True,False,1,1,0,1,0,0,0,3,2,3,0,2,1,"Snøhvit public evidence explicitly uses reservoir pressure/history matching, repeated 4D seismic and well-based surveillance.",https://www.sodir.no/en/whats-new/publications/co2-atlases/co2-atlas-for-the-norwegian-continental-shelf/6-the-barents-sea/6.2-storage-options-of-the-barents-sea/6.2.1-saline-aquifers/storage-capacity-snohvit-area/
A13,Carbfix Hellisheiði storage asset,mature_primary,2021,5.6666666666667425,B1,,True,3,3,True,True,1,0,0,0,1,0,0,2,2,2,1,2,2,"Reactive-basalt verification is represented by injection/flow control plus geochemical/tracer/mineralisation observables, not the sedimentary seismic families.",https://www.nature.com/articles/s41467-019-10003-8
A14,Campo Viejo Gas Processing Plant,ambiguous_2024,2024,2.6666666666667425,A10,0.0155,False,1,1,False,False,1,0,1,1,0,0,1,4,4,4,1,0,1,"Campo Viejo MRV uses continuous injection/pressure, seismic-event monitoring, mechanical integrity/well surveillance and groundwater/surface-leak monitoring.",https://www.epa.gov/ghgreporting/campo-viejo-gas-processing-plant
A15,Piñon Dark Horse Treating Facility and storage,ambiguous_2024,2024,2.6666666666667425,A10,0.0155,False,1,1,False,False,1,0,1,1,0,0,1,4,4,4,1,0,1,"Dark Horse MRV uses continuous injection pressure/rate, seismic-event monitoring, well integrity surveillance and atmospheric/surface monitoring.",https://www.epa.gov/ghgreporting/dark-horse-treating-plant
